Retail Price MMK	Banana Price THB	MMK per THB	Banana Reference MMK	Price Source URL	Price Checked At	Price Status	Price Notes
							
							
		134			2026-09-02	NEEDS EXACT PRICE	Used/damaged condition: owner must set a selling price; do not use new-item retail automatically.
		134			2026-09-02	NEEDS EXACT PRICE	Used/damaged condition: owner must set a selling price; do not use new-item retail automatically.
		134			2026-09-02	NEEDS EXACT PRICE	Used/damaged condition: owner must set a selling price; do not use new-item retail automatically.
		134			2026-09-02	NEEDS EXACT PRICE	Used/damaged condition: owner must set a selling price; do not use new-item retail automatically.
		134			2026-09-02	NEEDS EXACT PRICE	Used/damaged condition: owner must set a selling price; do not use new-item retail automatically.
		134			2026-09-02	NEEDS EXACT PRICE	Used/damaged condition: owner must set a selling price; do not use new-item retail automatically.
		134			2026-09-02	NEEDS EXACT PRICE	Used/damaged condition: owner must set a selling price; do not use new-item retail automatically.
		134			2026-09-02	NEEDS EXACT PRICE	Used/damaged condition: owner must set a selling price; do not use new-item retail automatically.
		134			2026-09-02	NEEDS EXACT PRICE	Used/damaged condition: owner must set a selling price; do not use new-item retail automatically.
		134			2026-09-02	NEEDS EXACT PRICE	Used/damaged condition: owner must set a selling price; do not use new-item retail automatically.
		134			2026-09-02	NEEDS EXACT PRICE	Used/damaged condition: owner must set a selling price; do not use new-item retail automatically.
		134			2026-09-02	NEEDS EXACT PRICE	Used/damaged condition: owner must set a selling price; do not use new-item retail automatically.
		134			2026-09-02	NEEDS EXACT PRICE	Used/damaged condition: owner must set a selling price; do not use new-item retail automatically.
		134			2026-09-02	NEEDS EXACT PRICE	Used/damaged condition: owner must set a selling price; do not use new-item retail automatically.
		134			2026-09-02	NEEDS EXACT PRICE	Used/damaged condition: owner must set a selling price; do not use new-item retail automatically.
		134			2026-09-02	NEEDS EXACT PRICE	Used/damaged condition: owner must set a selling price; do not use new-item retail automatically.
		134			2026-09-02	NEEDS EXACT PRICE	Used/damaged condition: owner must set a selling price; do not use new-item retail automatically.
		134			2026-09-02	NEEDS EXACT PRICE	Used/damaged condition: owner must set a selling price; do not use new-item retail automatically.
