Retail Price MMK	Banana Price THB	MMK per THB	Banana Reference MMK	Price Source URL	Price Checked At	Price Status	Price Notes
							
							
							
		134			2026-09-02	NEEDS EXACT PRICE	No reliable exact Banana price verified. Enter your approved selling price in Retail Price MMK.
		134			2026-09-02	NEEDS EXACT PRICE	No reliable exact Banana price verified. Enter your approved selling price in Retail Price MMK.
		134			2026-09-02	NEEDS EXACT PRICE	No reliable exact Banana price verified. Enter your approved selling price in Retail Price MMK.
		134			2026-09-02	NEEDS EXACT PRICE	No reliable exact Banana price verified. Enter your approved selling price in Retail Price MMK.
		134			2026-09-02	NEEDS EXACT PRICE	No reliable exact Banana price verified. Enter your approved selling price in Retail Price MMK.
		134			2026-09-02	NEEDS EXACT PRICE	No reliable exact Banana price verified. Enter your approved selling price in Retail Price MMK.
		134			2026-09-02	NEEDS EXACT PRICE	No reliable exact Banana price verified. Enter your approved selling price in Retail Price MMK.
		134			2026-09-02	NEEDS EXACT PRICE	No reliable exact Banana price verified. Enter your approved selling price in Retail Price MMK.
		134			2026-09-02	NEEDS EXACT PRICE	No reliable exact Banana price verified. Enter your approved selling price in Retail Price MMK.
		134			2026-09-02	NEEDS EXACT PRICE	Used/damaged condition: owner must set a selling price; do not use new-item retail automatically.
		134			2026-09-02	NEEDS EXACT PRICE	No reliable exact Banana price verified. Enter your approved selling price in Retail Price MMK.
=AK21	4990	134	=ROUND(AI21*AJ21,0)	https://www.bnn.in.th/th/p/shop-by-brand-1/a/amd	2026-09-02	MATCHED	Ryzen 5 7500F Verify supplier warranty and local delivery cost.
		134			2026-09-02	NEEDS EXACT PRICE	No reliable exact Banana price verified. Enter your approved selling price in Retail Price MMK.
		134			2026-09-02	NEEDS EXACT PRICE	No reliable exact Banana price verified. Enter your approved selling price in Retail Price MMK.
		134			2026-09-02	NEEDS EXACT PRICE	No reliable exact Banana price verified. Enter your approved selling price in Retail Price MMK.
	17990	134	=ROUND(AI25*AJ25,0)	https://www.bnn.in.th/th/p/shop-by-brand-1/a/amd	2026-09-02	REVIEW CONDITION / PACKAGE	Ryzen 7 9800X3D Verify supplier warranty and local delivery cost.
	17990	134	=ROUND(AI26*AJ26,0)	https://www.bnn.in.th/th/p/shop-by-brand-1/a/amd	2026-09-02	REVIEW CONDITION / PACKAGE	Ryzen 7 9800X3D Verify box/tray, cooler and supplier warranty.
=AK27	15290	134	=ROUND(AI27*AJ27,0)	https://www.bnn.in.th/th/p/shop-by-brand-1/a/amd	2026-09-02	MATCHED	Ryzen 9 9900X Verify supplier warranty and local delivery cost.
	21990	134	=ROUND(AI28*AJ28,0)	https://www.bnn.in.th/th/p/shop-by-brand-1/a/amd	2026-09-02	REVIEW CONDITION / PACKAGE	Ryzen 9 9900X3D Verify box/tray, cooler and supplier warranty.
	26990	134	=ROUND(AI29*AJ29,0)	https://www.bnn.in.th/th/p/shop-by-brand-1/a/amd	2026-09-02	REVIEW CONDITION / PACKAGE	Ryzen 9 9950X3D Verify box/tray, cooler and supplier warranty.
		134			2026-09-02	NEEDS EXACT PRICE	No reliable exact Banana price verified. Enter your approved selling price in Retail Price MMK.
