Wholesale Price MMK	Wholesale Min Qty	Wholesale Discount	Wholesale Status	Wholesale Notes
				
				
				
=IF(AND(ISNUMBER(AH10),AH10>0),ROUND(AH10*(1-AR10),0),"")	3	0.05	=IF(AND(ISNUMBER(AH10),AH10>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH11),AH11>0),ROUND(AH11*(1-AR11),0),"")	3	0.05	=IF(AND(ISNUMBER(AH11),AH11>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH12),AH12>0),ROUND(AH12*(1-AR12),0),"")	3	0.05	=IF(AND(ISNUMBER(AH12),AH12>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH13),AH13>0),ROUND(AH13*(1-AR13),0),"")	3	0.05	=IF(AND(ISNUMBER(AH13),AH13>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH14),AH14>0),ROUND(AH14*(1-AR14),0),"")	3	0.05	=IF(AND(ISNUMBER(AH14),AH14>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH15),AH15>0),ROUND(AH15*(1-AR15),0),"")	3	0.05	=IF(AND(ISNUMBER(AH15),AH15>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH16),AH16>0),ROUND(AH16*(1-AR16),0),"")	3	0.05	=IF(AND(ISNUMBER(AH16),AH16>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH17),AH17>0),ROUND(AH17*(1-AR17),0),"")	3	0.05	=IF(AND(ISNUMBER(AH17),AH17>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH18),AH18>0),ROUND(AH18*(1-AR18),0),"")	3	0.05	=IF(AND(ISNUMBER(AH18),AH18>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH19),AH19>0),ROUND(AH19*(1-AR19),0),"")	3	0.05	=IF(AND(ISNUMBER(AH19),AH19>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH20),AH20>0),ROUND(AH20*(1-AR20),0),"")	3	0.05	=IF(AND(ISNUMBER(AH20),AH20>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH21),AH21>0),ROUND(AH21*(1-AR21),0),"")	3	0.05	=IF(AND(ISNUMBER(AH21),AH21>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
